𝠃𝤐𝤎񅳁𝣼𝣿	¿a
𝠃𝤍𝤑񁫁𝣿𝣻	¿b
𝠃𝤏𝤐񂤁𝣾𝣼	¿c
𝠃𝤎𝤕񀁱𝣾𝣷	¿d
𝠃𝤑𝤕񄵡𝣻𝣷	¿f
𝠃𝤕𝤎񅨁𝣸𝣿	¿g
𝠀񀟣𝠃𝤕𝤎񀟣𝣷𝣿	¿h
𝠃𝤑𝤐񃛡𝣼𝣽	¿i
𝠃𝤙𝤙񃛡𝤄𝤆񉳍𝣳𝣴	¿j
𝠃𝤕𝤕񁠡𝣸𝣷	¿k
𝠃𝤒𝤕񅊡𝣺𝣷	¿l
𝠃𝤐𝤓񃔁𝣼𝣺	¿m
𝠃𝤑𝤓񀦁𝣼𝣹	¿n
𝠃𝤎𝤎񂱡𝣾𝣾	¿o
𝠃𝤖𝤒񁠢𝣷𝣺	¿p
𝠃𝤕𝤒񅨢𝣷𝣻	¿q
𝠃𝤎𝤕񀧡𝣿𝣷	¿r
𝠃𝤎𝤎񆅁𝣿𝣿	¿s
𝠃𝤎𝤐񅹁𝣿𝣽	¿t
𝠃𝤎𝤕񀠁𝣿𝣷	¿u
𝠃𝤎𝤕񀕡𝣿𝣷	¿v
𝠃𝤏𝤕񃋁𝣽𝣸	¿w
𝠃𝤑𝤓񀉡𝣼𝣹	¿x
𝠃𝤔𝤐񃧡𝣸𝣼	¿y
𝠃𝤙𝤗񀀡𝣳𝣹񇧫𝣺𝣵	¿z
𝠀񀀁񀀉񈗥񈗵񋸦𝠃𝤝𝤨񀀁𝤎𝣤񀀉𝣰𝣮񈗥𝤏𝤇񈗵𝣱𝤑񋸦𝤆𝤜	¿come
𝠀񀀁񁲋񆒁񋲡𝠃𝤝𝤨񆒁𝣰𝤐񁲋𝣾𝣤񋲡𝣷𝤡񀀁𝣶𝣮	¿heart beat
𝠀񀀁񆇡񈙁񍘡𝠃𝤪𝤰񍘡𝣴𝣵񆇡𝤎𝤖񈙁𝤚𝤊񀀁𝣺𝤒	¿tell you
𝠀񀀁񆕁񇆥񍘡񁲠񈙃񎱆𝠃𝤭𝥨񍘡𝣴𝣵񀀁𝣺𝤒񆕁𝤔𝤗񇆥𝤎𝤥񎱆𝣨𝥈񁲠𝤒𝥌񈙃𝣸𝥔	¿rash
𝠀񀀁񀀉񈙅񈙕𝠃𝤛𝤥񀀁𝤋𝤆񀀉𝣳𝤇񈙅𝤋𝣨񈙕𝣲𝣧	¿come
𝠀񀀁񂇛񎵩񎵧񆇡񇂄񆇡𝠃𝤬𝤰񂇛𝤏𝤤񎵧𝣧𝤨񎵩𝤛𝣹񆇡𝤢𝤖񆇡𝣠𝤜񀀁𝤔𝣝񇂄𝣬𝣹	¿day
𝠀񀀁񆇡񋎡񋲡񌀅𝠃𝤘𝥗񀀁𝣺𝤖񌀅𝣴𝣵񆇡𝤋𝤘񋎡𝣷𝤸񋲡𝣼𝥐	¿serious
𝠀񀀁񆕁񈟅񍈑𝠃𝤸𝤭񍈑𝣱𝣵񆕁𝤡𝤇񀀁𝤉𝤏񈟅𝤝𝤕	¿testyyyyy
𝠀񀀁񀀉񊒦񊒵𝠃𝤜𝤥񀀁𝤍𝣨񀀉𝣲𝣨񊒦𝤎𝤍񊒵𝣰𝤍	¿come
𝠀񀀁񂈗񉍤񆇡񎲡񎲷𝠃𝤢𝤦񆇡𝣯𝤒񀀁𝤋𝣦񂈛𝤇𝤚񎲷𝣫𝤞񎲡𝤒𝤂񉍤𝣭𝣴	¿day
𝠀񀀁񆇡񋵡񈩯񍉡𝠃𝤘𝤲񍉡𝣴𝣵񈩯𝣙𝤊񀀁𝣸𝤎񋵡𝣪𝤡񆇡𝣫𝤕	¿wiggle nose
𝠀񀀁񆕁񈟅񍈑𝠃𝤸𝤭񍈑𝣱𝣵񆕁𝤡𝤇񀀁𝤉𝤏񈟅𝤝𝤕	¿tickle-ear
𝠀񀀁񀀉񀀱񀀹񈙈񈙘񋸤񋲡𝠃𝤫𝥅񌟡𝣴𝣵񀀁𝣻𝤡񀀱𝤚𝣾񀀉𝣉𝤎񀀹𝣠𝣦񈙈𝤕𝤤񈙘𝢾𝣱񋸤𝣟𝤮񋲡𝣛𝤾	¿passing through eye
𝠀񀀁񀀉񋟅񋠉񋻥񀉁񀉉񌄡񌏁𝠃𝤝𝥳񀉁𝤎𝥔񀉉𝣴𝥙񋻥𝣿𝥌񀀉𝣴𝤕񋟅𝤎𝤰񋠉𝣴𝤵񀀁𝤌𝤏񌄡𝣴𝣯񌏁𝣴𝣺	¿ask
𝠀񀀁񀀉񋟅񋠉񋻥񀉁񀉉񌄡񌏁𝠃𝤝𝥳񀉁𝤎𝥔񀉉𝣴𝥙񋻥𝣿𝥌񀀉𝣴𝤕񋟅𝤎𝤰񋠉𝣴𝤵񀀁𝤌𝤏񌄡𝣴𝣯񌏁𝣴𝣺	¿ questioning me
𝠀񀀁񆇡񆇡񌀅𝠃𝤡𝤱񌀅𝣴𝣵񆇡𝤋𝤚񀀁𝣸𝤓񆇡𝤗𝤚	¿say
𝠀񀀁񆉁񌒁𝠃𝤦𝤱񌒁𝣴𝣵񀀁𝣹𝤓񆉁𝤐𝤛	¿say
𝠀񀀁񆕁񈟅񍈑𝠃𝤸𝤭񍈑𝣱𝣵񆕁𝤡𝤇񀀁𝤉𝤏񈟅𝤝𝤕	¿ututututut
𝠀񀀁񀀉񆕁񆕁񇆥񇆵񋸦񌞁𝠃𝤰𝤶񇆥𝤗𝤔񌞁𝣴𝣵񀀉𝣺𝤘񀀁𝤄𝤅񇆵𝣟𝤙񆕁𝤝𝤅񆕁𝣦𝤋񋸦𝤎𝤥	¿cry
𝠀񀀁񀀩񆇡񀀡񀀉񆇡𝠃𝤗𝤳񆇡𝤍𝤨񀀉𝣻𝣙񀀁𝤂𝤈񀀩𝣼𝤏񆇡𝣶𝣹񀀡𝤂𝣠	¿translate
𝠀񀀁񆇡񈗡񌀅𝠃𝤘𝤴񆇡𝤌𝤙񌀅𝣴𝣵񀀁𝣺𝤖	¿tell
𝠀񀀁񆕁񆡁񆿅񅥡񅥩񅮡񅮩񆿇񆿓񆇡񆇡񌀅𝠃𝥊𝥸񌀅𝣴𝣵񀀁𝣸𝤓񆕁𝤈𝤧񆡁𝤉𝤜񆿅𝤈𝤶񅥡𝣾𝥓񅥩𝣠𝥓񅮡𝤭𝥚񅮩𝢥𝥛񆿇𝤟𝥝񆿓𝣅𝥝񆇡𝣸𝥭񆇡𝣸𝥈	¿brick
